N,TYPE,PARENT,NAME,FILETYPE,PATH,SIZE
1,Dir,,mermaid,,./mermaid,0
2,Dir,,example_app_csv_wrangler,,./example_app_csv_wrangler,0
3,Dir,,assets,,./assets,0
4,Dir,,pysaxon11,,./pysaxon11,0
5,Dir,,__pycache__,,./__pycache__,0
6,Dir,,py_nx_obs,,./py_nx_obs,0
7,Dir,,draw.io,,./draw.io,0
8,Dir,,XML,,./XML,0
9,Dir,,mm,,./mm,0
10,Dir,,output,,./output,0
11,Dir,,csv,,./csv,0
12,Dir,,md_explanation,,./md_explanation,0
13,File,,st_scan_fs_Gemini25Flash_000.py,py,./st_scan_fs_Gemini25Flash_000.py,13831
14,File,,mvp_framework_prompt.md,md,./mvp_framework_prompt.md,478
15,File,,0_run_app,,./0_run_app,57
16,File,,st_scan_fs_020.py,py,./st_scan_fs_020.py,14074
17,File,,st_scan_fs_000_Prompt.md,md,./st_scan_fs_000_Prompt.md,3560
18,File,,app.py,py,./app.py,8758
19,File,,py_analysis.py,py,./py_analysis.py,11108
20,File,,st_groq_agent_demo.py,py,./st_groq_agent_demo.py,26254
21,File,,mermaid_utils.py,py,./mermaid_utils.py,3052
22,File,,st_scanfs_pl_020.py,py,./st_scanfs_pl_020.py,13947
23,File,,st_groq_documenter_refactored.py,py,./st_groq_documenter_refactored.py,10310
24,File,,st_scan_fs_000.py,py,./st_scan_fs_000.py,10045
25,File,,app_refactored.py,py,./app_refactored.py,8800
26,File,,st_mermaid_refactored.py,py,./st_mermaid_refactored.py,1629
27,File,,st_scanfs_pl_050.py,py,./st_scanfs_pl_050.py,15927
28,File,,st_scan_fs_010.py,py,./st_scan_fs_010.py,7479
29,File,,st_scanfs_pl.py,py,./st_scanfs_pl.py,19957
30,File,,self_discover.py,py,./self_discover.py,1434
31,File,,clipmvp,,./clipmvp,77
32,File,,mvp_utils.py,py,./mvp_utils.py,3452
33,File,,PROMPT_STRUCTURE.py,py,./PROMPT_STRUCTURE.py,3298
34,File,,st_scanfs_pl_040.py,py,./st_scanfs_pl_040.py,15906
35,File,,scanfs,,./scanfs,82
36,File,,st_scan_fs_Claude_000.py,py,./st_scan_fs_Claude_000.py,12099
37,File,,app_agent.py,py,./app_agent.py,3827
38,File,,st_CLIP_MVP_Flash25_010.py,py,./st_CLIP_MVP_Flash25_010.py,11116
39,File,,reasoning_modules.py,py,./reasoning_modules.py,5621
40,File,,st_CLIP_MVP_Flash25_000_refactored.py,py,./st_CLIP_MVP_Flash25_000_refactored.py,10177
41,File,,reasoner_prompt.py,py,./reasoner_prompt.py,20584
42,File,,.st_scanfs_pl.py.swp,swp,./.st_scanfs_pl.py.swp,40960
43,File,,st_scanfs_pl_010.py,py,./st_scanfs_pl_010.py,13723
44,File,,st_mermaid_020.py,py,./st_mermaid_020.py,2125
45,File,,dashboards.py,py,./dashboards.py,887
46,File,,st_scan_fs_Gemini25Flash_000_refactored.py,py,./st_scan_fs_Gemini25Flash_000_refactored.py,22029
47,File,,components_example_html.py,py,./components_example_html.py,1947
48,File,,st_scanfs_pl_060.py,py,./st_scanfs_pl_060.py,20258
49,File,,st_scanfs_pl_070.py,py,./st_scanfs_pl_070.py,19700
50,File,,mvp_config.py,py,./mvp_config.py,13194
51,File,,st_scan_fs_Claude_Prompt.md,md,./st_scan_fs_Claude_Prompt.md,3720
52,File,,update_mm.py,py,./update_mm.py,3265
53,File,,prueba_sax.py,py,./prueba_sax.py,40597
54,File,,st_groq_documenter.py,py,./st_groq_documenter.py,17410
55,File,,mermaid_examples.py,py,./mermaid_examples.py,6760
56,File,,st_scanfs_pl_030.py,py,./st_scanfs_pl_030.py,15195
57,File,,st_CLIP_MVP_Flash25_000.py,py,./st_CLIP_MVP_Flash25_000.py,9775
58,Link,,example_app_csv_wrangler,,./example_app_csv_wrangler,0
59,Link,,py_nx_obs,,./py_nx_obs,0
60,Link,,components_example_html.py,,./components_example_html.py,0
61,Link,,md_explanation,,./md_explanation,0
62,File,mermaid,MVP_Architecture_Diagram_clear.pdf,pdf,./mermaid/MVP_Architecture_Diagram_clear.pdf,3636
63,File,mermaid,QWEN_Documentation.md,md,./mermaid/QWEN_Documentation.md,4843
64,File,mermaid,CRUD_NICE_EXAMPLE.mmd,mmd,./mermaid/CRUD_NICE_EXAMPLE.mmd,1182
65,File,mermaid,MVP_Architecture_Diagram.mmd,mmd,./mermaid/MVP_Architecture_Diagram.mmd,1299
66,File,mermaid,test.md,md,./mermaid/test.md,6637
67,File,mermaid,CRUD_DEEP_SEEK_MERMAID.mmd,mmd,./mermaid/CRUD_DEEP_SEEK_MERMAID.mmd,878
68,File,mermaid,borrar.mmd,mmd,./mermaid/borrar.mmd,714
69,File,mermaid,FASTAPI_GITHUB.mmd,mmd,./mermaid/FASTAPI_GITHUB.mmd,3317
70,File,mermaid,CRUD_NICE_EXAMPLE.md,md,./mermaid/CRUD_NICE_EXAMPLE.md,1218
71,File,mermaid,COBOLagencyASPER_Process.md,md,./mermaid/COBOLagencyASPER_Process.md,809
72,File,mermaid,COBOLagencyASPER_Process.mmd,mmd,./mermaid/COBOLagencyASPER_Process.mmd,765
73,File,mermaid,QWEN2.5-Max_Documentation.mmd,mmd,./mermaid/QWEN2.5-Max_Documentation.mmd,1685
74,File,mermaid,MVP_Architecture_Diagram.svg,svg,./mermaid/MVP_Architecture_Diagram.svg,27679
75,File,mermaid,BASIC_SEQUENCE.mmd,mmd,./mermaid/BASIC_SEQUENCE.mmd,360
76,File,mermaid,MERMAID_CODE_BASE.mmd,mmd,./mermaid/MERMAID_CODE_BASE.mmd,798
77,File,mermaid,FLOWCHART_STYLE.mmd,mmd,./mermaid/FLOWCHART_STYLE.mmd,753
78,File,mermaid,MVP_Architecture_Diagram_clear.svg,svg,./mermaid/MVP_Architecture_Diagram_clear.svg,39212
79,File,mermaid,ER_EXAMPLE.mmd,mmd,./mermaid/ER_EXAMPLE.mmd,390
80,Dir,assets,images,,./assets/images,0
81,File,assets,styles.css,css,./assets/styles.css,1822
82,File,assets,styles_ORI.css,css,./assets/styles_ORI.css,1772
83,Dir,images,COBOLpro,,./assets/images/COBOLpro,0
84,File,images,OKRoecket_Rocket_Logo.png,png,./assets/images/OKRoecket_Rocket_Logo.png,56578
85,File,COBOLpro,COBOLpro_icon.png,png,./assets/images/COBOLpro/COBOLpro_icon.png,11618
86,File,COBOLpro,COBOLpro_QR.png,png,./assets/images/COBOLpro/COBOLpro_QR.png,22834
87,File,COBOLpro,COBOLpro_Vertical_FullLockup.png,png,./assets/images/COBOLpro/COBOLpro_Vertical_FullLockup.png,61140
88,Dir,pysaxon11,__pycache__,,./pysaxon11/__pycache__,0
89,Dir,pysaxon11,.ipynb_checkpoints,,./pysaxon11/.ipynb_checkpoints,0
90,Dir,pysaxon11,pysaxon,,./pysaxon11/pysaxon,0
91,File,pysaxon11,sax_xsl.py,py,./pysaxon11/sax_xsl.py,200
92,File,pysaxon11,pysaxon11.py,py,./pysaxon11/pysaxon11.py,2514
93,File,__pycache__,pysaxon11.cpython-39.pyc,pyc,./pysaxon11/__pycache__/pysaxon11.cpython-39.pyc,1120
94,File,__pycache__,pysaxon11.cpython-310.pyc,pyc,./pysaxon11/__pycache__/pysaxon11.cpython-310.pyc,1572
95,File,.ipynb_checkpoints,pysaxon11-checkpoint.py,py,./pysaxon11/.ipynb_checkpoints/pysaxon11-checkpoint.py,1967
96,File,pysaxon,pysaxon11_py.txt,txt,./pysaxon11/pysaxon/pysaxon11_py.txt,2514
97,File,__pycache__,reasoning_modules.cpython-310.pyc,pyc,./__pycache__/reasoning_modules.cpython-310.pyc,5177
98,File,__pycache__,mvp_utils.cpython-310.pyc,pyc,./__pycache__/mvp_utils.cpython-310.pyc,3317
99,File,__pycache__,mermaid_examples.cpython-310.pyc,pyc,./__pycache__/mermaid_examples.cpython-310.pyc,6824
100,File,__pycache__,self_discover.cpython-310.pyc,pyc,./__pycache__/self_discover.cpython-310.pyc,1773
101,File,__pycache__,py_analysis.cpython-310.pyc,pyc,./__pycache__/py_analysis.cpython-310.pyc,11263
102,File,__pycache__,dashboards.cpython-310.pyc,pyc,./__pycache__/dashboards.cpython-310.pyc,647
103,File,__pycache__,mermaid_utils.cpython-310.pyc,pyc,./__pycache__/mermaid_utils.cpython-310.pyc,2450
104,File,__pycache__,components_example_html.cpython-310.pyc,pyc,./__pycache__/components_example_html.cpython-310.pyc,2104
105,File,__pycache__,reasoner_prompt.cpython-310.pyc,pyc,./__pycache__/reasoner_prompt.cpython-310.pyc,20722
106,File,__pycache__,mvp_config.cpython-310.pyc,pyc,./__pycache__/mvp_config.cpython-310.pyc,11014
107,Dir,draw.io,svg,,./draw.io/svg,0
108,Dir,draw.io,png,,./draw.io/png,0
109,File,draw.io,bootstrap_01.drawio,drawio,./draw.io/bootstrap_01.drawio,21849
110,File,draw.io,homepage_01.drawio,drawio,./draw.io/homepage_01.drawio,13113
